ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Juneteenth National Independence Day (Observed),Juneteenth National Independence Day (Observed)_lower,Juneteenth National Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2022-02-01 23:00:00,1844.4996330824529,1540.6542088737503,2324.366059305215,1844.4996330824529,1844.4996330824529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916961059,-0.09252253916961059,-0.09252253916961059,0.0,0.0,0.0,0.04143069114177601,0.04143069114177601,0.04143069114177601,0.03640175707568071,0.03640175707568071,0.03640175707568071,0.09755147323570591,0.09755147323570591,0.09755147323570591,0.0,0.0,0.0,1920.9185276918113
2022-02-02 23:00:00,1844.589112386662,1569.5023809545567,2262.6821927132187,1844.589112386662,1844.589112386662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253917080347,-0.09252253917080347,-0.09252253917080347,0.0,0.0,0.0,0.04494179388120831,0.04494179388120831,0.04494179388120831,0.041458396484360074,0.041458396484360074,0.041458396484360074,0.09600593656765176,0.09600593656765176,0.09600593656765176,0.0,0.0,0.0,1927.4882560710641
2022-02-03 23:00:00,1844.6785916908714,1512.281158319871,2296.0480180410136,1844.6785916908714,1844.6785916908714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916809229,-0.09252253916809229,-0.09252253916809229,0.0,0.0,0.0,0.033171199638585024,0.033171199638585024,0.033171199638585024,0.031329985045954294,0.031329985045954294,0.031329985045954294,0.09436375376072298,0.09436375376072298,0.09436375376072298,0.0,0.0,0.0,1905.8687935248731
2022-02-04 23:00:00,1844.7680709950807,1479.5613102961795,2187.1406437833116,1844.7680709950807,1844.7680709950807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916928517,-0.09252253916928517,-0.09252253916928517,0.0,0.0,0.0,-0.01219428670344555,-0.01219428670344555,-0.01219428670344555,-0.012300965660135724,-0.012300965660135724,-0.012300965660135724,0.09262921812597534,0.09262921812597534,0.09262921812597534,0.0,0.0,0.0,1822.2724402360045
2022-02-05 23:00:00,1844.8575502992896,1291.2656649887704,2053.148783545667,1844.8575502992896,1844.8575502992896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253917030794,-0.09252253917030794,-0.09252253917030794,0.0,0.0,0.0,-0.1028507911086453,-0.1028507911086453,-0.1028507911086453,-0.10113320447276852,-0.10113320447276852,-0.10113320447276852,0.09080495253443116,0.09080495253443116,0.09080495253443116,0.0,0.0,0.0,1655.1124917682505
2022-02-06 23:00:00,1844.9470296034988,1404.8287311464057,2127.640294285209,1844.9470296034988,1844.9470296034988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916776684,-0.09252253916776684,-0.09252253916776684,0.0,0.0,0.0,-0.041496430528326314,-0.041496430528326314,-0.041496430528326314,-0.037865882858809555,-0.037865882858809555,-0.037865882858809555,0.0888919914982501,0.0888919914982501,0.0888919914982501,0.0,0.0,0.0,1768.3883133611153
2022-02-07 23:00:00,1845.0365089077081,1544.5656703496954,2250.09870278888,1845.0363700738112,1845.0365089077081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916878962,-0.09252253916878962,-0.09252253916878962,0.0,0.0,0.0,0.03647730826658303,0.03647730826658303,0.03647730826658303,0.04210991438572184,0.04210991438572184,0.04210991438572184,0.0868899330496508,0.0868899330496508,0.0868899330496508,0.0,0.0,0.0,1912.3384744062348
2022-02-08 23:00:00,1845.1259882119175,1551.029582548389,2282.0254714402513,1845.0208472401566,1845.1259882119175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916998252,-0.09252253916998252,-0.09252253916998252,0.0,0.0,0.0,0.028676370856851423,0.028676370856851423,0.028676370856851423,0.036401757075580604,0.036401757075580604,0.036401757075580604,0.08479715295125334,0.08479715295125334,0.08479715295125334,0.0,0.0,0.0,1898.0375053274968
2022-02-09 23:00:00,1845.2154675161266,1564.8899092017357,2269.5981324670374,1845.0083144908492,1845.2154675161266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253917100528,-0.09252253917100528,-0.09252253917100528,0.0,0.0,0.0,0.031546929037849336,0.031546929037849336,0.031546929037849336,0.041458396484281734,0.041458396484281734,0.041458396484281734,0.08261107172457291,0.08261107172457291,0.08261107172457291,0.0,0.0,0.0,1903.4263489293999
2022-02-10 23:00:00,1845.3049468203355,1511.9799255296775,2237.129237367005,1844.7868631005585,1845.3049468203355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09252253916846422,-0.09252253916846422,-0.09252253916846422,0.0,0.0,0.0,0.019135909156966086,0.019135909156966086,0.019135909156966086,0.031329985045924935,0.031329985045924935,0.031329985045924935,0.08032846327950537,0.08032846327950537,0.08032846327950537,0.0,0.0,0.0,1880.6165346495895
